index,Order ID,Product Name,Discount per product,Total revenue before discount,Total quantity,Category
117,ES-2011-1657853,"Bevis Coffee Table, with Bottom Storage",10.5,827,4,Furniture
118,ES-2011-1657853,"Breville Coffee Grinder, White",3,324,6,Office Supplies
119,ES-2011-1657853,"Cardinal 3-Hole Punch, Clear",0,141,5,Office Supplies
120,ES-2011-1657853,"Ibico Hole Reinforcements, Recycled",0,44,6,Office Supplies
121,ES-2011-1679370,"Novimex Rocking Chair, Black",0,387,3,Furniture
122,ES-2011-1689666,"Stiletto Scissors, Easy Grip",0,50,2,Office Supplies
123,ES-2011-1690587,"GlobeWeis Business Envelopes, Recycled",0,48,3,Office Supplies
124,ES-2011-1698059,"Green Bar Parchment Paper, Recycled",0,166,10,Office Supplies
125,ES-2011-1702031,"Stanley Pens, Easy-Erase",0,41,4,Office Supplies
126,ES-2011-1702658,"Rogers File Cart, Industrial",12,85,1,Office Supplies
127,ES-2011-1705541,"Safco Classic Bookcase, Traditional",0,1314,3,Furniture
128,ES-2011-1705541,"Office Star Rocking Chair, Red",0,705,5,Furniture
129,ES-2011-1705541,"BIC Sketch Pad, Blue",0,195,4,Office Supplies
130,ES-2011-1705541,"Sanford Pens, Fluorescent",0,37,3,Office Supplies
131,ES-2011-1708225,"OIC Clamps, 12 Pack",0,58,3,Office Supplies
132,ES-2011-1708709,"Cuisinart Microwave, Red",3,1253,5,Office Supplies
133,ES-2011-1708709,"Accos Rubber Bands, Assorted Sizes",0,42,3,Office Supplies
134,ES-2011-1708709,"Avery Color Coded Labels, Laser Printer Compatible",0,80,6,Office Supplies
135,ES-2011-1708709,"Avery Legal Exhibit Labels, 5000 Label Set",0,106,9,Office Supplies
136,ES-2011-1708709,"Smead Folders, Wire Frame",3,30,2,Office Supplies
137,ES-2011-1712442,"Binney & Smith Canvas, Blue",0,205,4,Office Supplies
138,ES-2011-1712442,"Wilson Jones Hole Reinforcements, Durable",0,12,2,Office Supplies
139,ES-2011-1712442,"Rogers Box, Single Width",0,48,2,Office Supplies
140,ES-2011-1712442,"Tenex File Cart, Single Width",0,268,2,Office Supplies
141,ES-2011-1712442,"Nokia Smart Phone, Cordless",0,4453,7,Technology
142,ES-2011-1720401,"OIC Thumb Tacks, Assorted Sizes",0,35,3,Office Supplies
143,ES-2011-1748043,"Ibico Binder Covers, Clear",0,39,3,Office Supplies
144,ES-2011-1749151,"Stanley Highlighters, Fluorescent",0,48,3,Office Supplies
145,ES-2011-1749151,"Acco 3-Hole Punch, Economy",0,271,9,Office Supplies
146,ES-2011-1761215,"KitchenAid Coffee Grinder, Red",0,141,2,Office Supplies
147,ES-2011-1761215,"Cardinal Binder, Economy",0,69,5,Office Supplies
148,ES-2011-1761215,"Acme Trimmer, Steel",0,176,4,Office Supplies
149,ES-2011-1761215,"Apple Speaker Phone, VoIP",12,370,5,Technology
150,ES-2011-1770042,"Tenex Stacking Tray, Black",0,76,3,Furniture
151,ES-2011-1770042,"Avery Binding Machine, Durable",0,252,5,Office Supplies
152,ES-2011-1770042,"Stiletto Letter Opener, Easy Grip",0,90,3,Office Supplies
153,ES-2011-1782465,"Smead Trays, Industrial",3,88,2,Office Supplies
154,ES-2011-1786064,"Acco 3-Hole Punch, Recycled",0,152,5,Office Supplies
155,ES-2011-1815211,"BIC Markers, Water Color",0,89,3,Office Supplies
156,ES-2011-1818378,"Hon Round Labels, Laser Printer Compatible",0,27,4,Office Supplies
157,ES-2011-1818378,"Rogers Box, Wire Frame",0,92,4,Office Supplies
158,ES-2011-1818378,"Kleencut Trimmer, Serrated",0,38,1,Office Supplies
159,ES-2011-1831867,"Wilson Jones Binder Covers, Clear",0,21,2,Office Supplies
160,ES-2011-1831867,"Eaton Message Books, Multicolor",0,88,4,Office Supplies
161,ES-2011-1831867,"Elite Trimmer, Easy Grip",0,87,2,Office Supplies
162,ES-2011-1849602,"Xerox Memo Slips, Recycled",0,94,7,Office Supplies
163,ES-2011-1849602,"Eldon Shelving, Single Width",0,194,4,Office Supplies
164,ES-2011-1858721,"Ikea Classic Bookcase, Metal",0,2056,5,Furniture
165,ES-2011-1868803,"Boston Canvas, Blue",0,322,6,Office Supplies
166,ES-2011-1868803,"Advantus Rubber Bands, Assorted Sizes",0,112,8,Office Supplies
167,ES-2011-1868803,"Enermax Memo Slips, Premium",0,31,2,Office Supplies
168,ES-2011-1868803,"Samsung Audio Dock, Full Size",0,672,4,Technology
169,ES-2011-1875818,"Bush 3-Shelf Cabinet, Metal",3,514,4,Furniture
170,ES-2011-1875818,"Harbour Creations Swivel Stool, Black",3,320,2,Furniture
171,ES-2011-1875818,"Avery Binder Covers, Economy",0,33,3,Office Supplies
172,ES-2011-1875818,"Smead Folders, Wire Frame",3,60,4,Office Supplies
173,ES-2011-1875818,"Logitech Flash Drive, USB",0,154,5,Technology
174,ES-2011-1878168,"Binney & Smith Highlighters, Fluorescent",0,54,3,Office Supplies
175,ES-2011-1878479,"Smead Removable Labels, Laser Printer Compatible",0,52,5,Office Supplies
176,ES-2011-1881074,"Binney & Smith Pencil Sharpener, Easy-Erase",0,112,4,Office Supplies
177,ES-2011-1881074,"Advantus Rubber Bands, 12 Pack",0,32,2,Office Supplies
178,ES-2011-1881074,"Eldon Box, Industrial",3,29,3,Office Supplies
179,ES-2011-1881074,"Rogers File Cart, Single Width",3,510,4,Office Supplies
180,ES-2011-1886093,"Stanley Pens, Blue",0,50,5,Office Supplies
181,ES-2011-1916591,"Cardinal Hole Reinforcements, Clear",0,10,2,Office Supplies
182,ES-2011-1930667,"Advantus Paper Clips, Assorted Sizes",3,25,2,Office Supplies
183,ES-2011-1930667,"StarTech Calculator, Durable",3,72,2,Technology
184,ES-2011-1941756,"Cardinal Binding Machine, Economy",0,100,2,Office Supplies
185,ES-2011-1941756,"Harbour Creations File Folder Labels, Laser Printer Compatible",0,44,5,Office Supplies
186,ES-2011-1941756,"Smead Trays, Industrial",3,220,5,Office Supplies
187,ES-2011-1941919,"Smead Box, Blue",0,22,2,Office Supplies
188,ES-2011-1950038,"Novimex Color Coded Labels, 5000 Label Set",0,26,2,Office Supplies
189,ES-2011-1951083,"Acme Trimmer, Serrated",0,206,5,Office Supplies
190,ES-2011-1962134,"Deflect-O Photo Frame, Black",0,156,3,Furniture
191,ES-2011-1974768,"Sauder 3-Shelf Cabinet, Mobile",0,338,2,Furniture
192,ES-2011-2009539,"Avery Shipping Labels, 5000 Label Set",0,37,3,Office Supplies
193,ES-2011-2009539,"Hon File Folder Labels, Laser Printer Compatible",0,69,8,Office Supplies
194,ES-2011-2010166,"Belkin Keyboard, USB",3,151,2,Technology
195,ES-2011-2021080,"Stiletto Ruler, Serrated",0,35,3,Office Supplies
196,ES-2011-2041772,"Eldon Photo Frame, Black",0,116,2,Furniture
197,ES-2011-2045003,"Stanley Pencil Sharpener, Water Color",2.5,126,9,Office Supplies
198,ES-2011-2046816,"Acco 3-Hole Punch, Clear",0,89,3,Office Supplies
199,ES-2011-2046816,"Stiletto Shears, High Speed",0,144,3,Office Supplies
200,ES-2011-2069466,"Deflect-O Door Stop, Black",0,88,2,Furniture
201,ES-2011-2069466,"Boston Canvas, Water Color",0,284,5,Office Supplies
202,ES-2011-2071029,"Hewlett Copy Machine, High-Speed",0,527,2,Technology
203,ES-2011-2072928,"Hon Executive Leather Armchair, Black",3,1234,3,Furniture
204,ES-2011-2076928,"Boston Markers, Blue",0,132,5,Office Supplies
205,ES-2011-2076928,"Logitech Numeric Keypad, USB",0,93,2,Technology
206,ES-2011-2083843,"Bush Corner Shelving, Pine",0,376,3,Furniture
207,ES-2011-2083843,"Sauder Classic Bookcase, Metal",0,1742,4,Furniture
208,ES-2011-2083843,"Cameo Business Envelopes, Security-Tint",0,34,2,Office Supplies
209,ES-2011-2087362,"Deflect-O Stacking Tray, Ergonomic",0,112,5,Furniture
210,ES-2011-2087362,"Novimex File Folder Labels, 5000 Label Set",0,26,3,Office Supplies
211,ES-2011-2087720,"Bush 3-Shelf Cabinet, Traditional",0,143,1,Furniture
212,ES-2011-2087720,"Cameo Interoffice Envelope, Set of 50",0,190,4,Office Supplies
213,ES-2011-2087720,"Konica Receipt Printer, Red",0,597,5,Technology
214,ES-2011-2087720,"Motorola Signal Booster, Cordless",0,584,4,Technology
215,ES-2011-2093980,"Belkin Memory Card, Ergonomic",0,113,1,Technology
216,ES-2011-2111237,"Hoover Microwave, Red",3,1389,5,Office Supplies
217,ES-2011-2117222,"Tenex Lockers, Single Width",0,613,3,Office Supplies
218,ES-2011-2123345,"BIC Pencil Sharpener, Fluorescent",0,61,2,Office Supplies
219,ES-2011-2130034,"Logitech Keyboard, Ergonomic",0,211,3,Technology
220,ES-2011-2132896,"Eldon Lockers, Single Width",3,534,3,Office Supplies
221,ES-2011-2132896,"Okidata Calculator, Red",0,99,2,Technology
222,ES-2011-2132896,"Apple Headset, Cordless",0,533,7,Technology
223,ES-2011-2140658,"Stanley Highlighters, Blue",2.5,15,2,Office Supplies
224,ES-2011-2140658,"Advantus Thumb Tacks, Metal",2.5,7,1,Office Supplies
225,ES-2011-2174124,"BIC Pens, Easy-Erase",0,29,2,Office Supplies
226,ES-2011-2187197,"Hoover Microwave, Red",3,1667,6,Office Supplies
227,ES-2011-2187197,"Avery Binding Machine, Economy",0,98,2,Office Supplies
228,ES-2011-2205486,"Acco Hole Reinforcements, Recycled",0,21,3,Office Supplies
229,ES-2011-2205486,"Avery Hole Reinforcements, Durable",0,12,2,Office Supplies
230,ES-2011-2210233,"Binney & Smith Sketch Pad, Blue",0,510,11,Office Supplies
231,ES-2011-2210233,"Jiffy Peel and Seal, Recycled",0,94,5,Office Supplies
232,ES-2011-2225020,"Wilson Jones 3-Hole Punch, Economy",3,76,3,Office Supplies
233,ES-2011-2225020,"Motorola Headset, Cordless",3,149,2,Technology
234,ES-2011-2230157,"Novimex Steel Folding Chair, Black",3,646,9,Furniture
235,ES-2011-2230157,"Fiskars Trimmer, Easy Grip",0,88,2,Office Supplies
236,ES-2011-2230157,"Apple Headset, Cordless",4.5,388,6,Technology
237,ES-2011-2231102,"Hon Rocking Chair, Adjustable",3,479,4,Furniture
238,ES-2011-2231102,"Wilson Jones 3-Hole Punch, Recycled",0,57,2,Office Supplies
239,ES-2011-2246685,"BIC Highlighters, Water Color",0,66,3,Office Supplies
240,ES-2011-2251272,"Stanley Canvas, Easy-Erase",0,99,2,Office Supplies
241,ES-2011-2251272,"Rogers Box, Wire Frame",3,83,4,Office Supplies
242,ES-2011-2257437,"Sanford Markers, Blue",3,105,5,Office Supplies
243,ES-2011-2257437,"Cisco Smart Phone, Cordless",3,5277,9,Technology
244,ES-2011-2258386,"Cardinal Binding Machine, Economy",0,199,4,Office Supplies
245,ES-2011-2258386,"SanDisk Note Cards, Multicolor",0,68,2,Office Supplies
246,ES-2011-2264751,"Harbour Creations Steel Folding Chair, Set of Two",3,270,3,Furniture
247,ES-2011-2266607,"Binney & Smith Markers, Blue",0,169,7,Office Supplies
248,ES-2011-2266607,"Okidata Inkjet, Durable",0,625,2,Technology
249,ES-2011-2266801,"Tenex Lockers, Blue",3,551,3,Office Supplies
250,ES-2011-2272875,"Binney & Smith Pencil Sharpener, Easy-Erase",0,56,2,Office Supplies
251,ES-2011-2272875,"Avery Binder, Economy",0,52,4,Office Supplies
252,ES-2011-2272875,"Cardinal Hole Reinforcements, Recycled",0,51,9,Office Supplies
253,ES-2011-2272875,"Wilson Jones Binding Machine, Economy",0,98,2,Office Supplies
254,ES-2011-2272875,"Fellowes Folders, Single Width",0,79,3,Office Supplies
255,ES-2011-2272875,"Kleencut Scissors, High Speed",0,89,4,Office Supplies
256,ES-2011-2272875,"Canon Personal Copier, High-Speed",0,282,2,Technology
257,ES-2011-2287259,"Advantus Clock, Black",0,103,2,Furniture
258,ES-2011-2287259,"Eaton Message Books, Multicolor",0,132,6,Office Supplies
259,ES-2011-2287259,"Fellowes File Cart, Blue",3,124,1,Office Supplies
260,ES-2011-2302372,"Dania Floating Shelf Set, Metal",0,169,1,Furniture
261,ES-2011-2302372,"Ikea 3-Shelf Cabinet, Pine",0,431,3,Furniture
262,ES-2011-2302372,"Wilson Jones 3-Hole Punch, Economy",0,56,2,Office Supplies
263,ES-2011-2302372,"Wilson Jones Binding Machine, Clear",0,339,7,Office Supplies
264,ES-2011-2314308,"Jiffy Clasp Envelope, with clear poly window",0,36,3,Office Supplies
265,ES-2011-2314308,"Harbour Creations Shipping Labels, 5000 Label Set",0,36,3,Office Supplies
266,ES-2011-2314308,"Panasonic Receipt Printer, Red",0,354,3,Technology
267,ES-2011-2324896,"Wilson Jones Binding Machine, Clear",0,97,2,Office Supplies
268,ES-2011-2333773,"Acco Hole Reinforcements, Clear",0,24,4,Office Supplies
269,ES-2011-2333773,"Acco Hole Reinforcements, Economy",0,47,7,Office Supplies
270,ES-2011-2337809,"Dania Corner Shelving, Traditional",3,439,4,Furniture
271,ES-2011-2339332,"Rogers Folders, Industrial",3,168,6,Office Supplies
272,ES-2011-2347754,"SAFCO Chairmat, Adjustable",0,187,3,Furniture
273,ES-2011-2367994,"Stanley Pencil Sharpener, Water Color",0,112,4,Office Supplies
274,ES-2011-2367994,"Avery Binder Covers, Durable",0,50,4,Office Supplies
275,ES-2011-2367994,"Konica Receipt Printer, Wireless",4.5,208,2,Technology
276,ES-2011-2371090,"Stockwell Thumb Tacks, Assorted Sizes",0,42,4,Office Supplies
277,ES-2011-2377967,"Bush Classic Bookcase, Mobile",0,2076,5,Furniture
278,ES-2011-2377967,"Acco Binding Machine, Recycled",0,309,6,Office Supplies
279,ES-2011-2377967,"Brother Copy Machine, High-Speed",0,525,2,Technology
280,ES-2011-2379967,"Avery Removable Labels, Adjustable",0,43,5,Office Supplies
281,ES-2011-2379967,"Konica Calculator, Red",0,98,2,Technology
282,ES-2011-2382517,"Binney & Smith Markers, Easy-Erase",0,73,3,Office Supplies
283,ES-2011-2382517,"Boston Markers, Fluorescent",0,193,7,Office Supplies
284,ES-2011-2382517,"Wilson Jones Hole Reinforcements, Recycled",0,10,2,Office Supplies
285,ES-2011-2382517,"Harbour Creations Color Coded Labels, Adjustable",0,54,5,Office Supplies
286,ES-2011-2382517,"Rogers File Cart, Industrial",12,255,3,Office Supplies
287,ES-2011-2382517,"Logitech Keyboard, Programmable",0,666,9,Technology
288,ES-2011-2399281,"Breville Toaster, Black",0,152,2,Office Supplies
289,ES-2011-2399281,"Motorola Headset, with Caller ID",0,957,12,Technology
290,ES-2011-2401476,"Green Bar Parchment Paper, Recycled",0,166,10,Office Supplies
291,ES-2011-2410472,"Acme Trimmer, High Speed",0,178,4,Office Supplies
292,ES-2011-2410472,"Elite Trimmer, Steel",0,123,3,Office Supplies
293,ES-2011-2413369,"Harbour Creations Rocking Chair, Adjustable",3,808,6,Furniture
294,ES-2011-2413369,"Green Bar Note Cards, Premium",0,268,9,Office Supplies
295,ES-2011-2413369,"SanDisk Note Cards, Premium",0,31,1,Office Supplies
296,ES-2011-2413369,"Memorex Router, Ergonomic",0,976,4,Technology
297,ES-2011-2417338,"Epson Phone, White",3,143,2,Technology
298,ES-2011-2464932,"BIC Markers, Water Color",0,237,8,Office Supplies
299,ES-2011-2464932,"Wilson Jones Binder Covers, Recycled",0,104,9,Office Supplies
300,ES-2011-2464932,"Advantus Clamps, Metal",0,58,3,Office Supplies
301,ES-2011-2464932,"Eldon Box, Industrial",3,29,3,Office Supplies
302,ES-2011-2464932,"Kleencut Box Cutter, High Speed",0,104,3,Office Supplies
303,ES-2011-2464932,"Epson Card Printer, Durable",4.5,578,4,Technology
304,ES-2011-2466466,"Sauder Stackable Bookrack, Pine",0,299,2,Furniture
305,ES-2011-2469850,"Boston Canvas, Fluorescent",0,439,8,Office Supplies
306,ES-2011-2469850,"Fiskars Ruler, Steel",0,41,3,Office Supplies
307,ES-2011-2470488,"Eldon Light Bulb, Durable",0,67,3,Furniture
308,ES-2011-2470488,"Avery Shipping Labels, Adjustable",0,68,7,Office Supplies
309,ES-2011-2470488,"Eaton Memo Slips, Recycled",0,96,7,Office Supplies
310,ES-2011-2470488,"Fellowes File Cart, Industrial",3,868,7,Office Supplies
311,ES-2011-2486841,"Rogers Folders, Single Width",0,123,4,Office Supplies
312,ES-2011-2511634,"Acme Box Cutter, High Speed",0,38,1,Office Supplies
313,ES-2011-2511634,"Cisco Smart Phone, Full Size",3,587,1,Technology
314,ES-2011-2520255,"Eaton Parchment Paper, Premium",0,13,1,Office Supplies
315,ES-2011-2520395,"Logitech Mouse, Ergonomic",0,54,2,Technology
316,ES-2011-2535754,"Advantus Clamps, Assorted Sizes",0,117,7,Office Supplies
317,ES-2011-2542245,"Avery Hole Reinforcements, Durable",0,18,3,Office Supplies
318,ES-2011-2542728,"Hon File Folder Labels, Alphabetical",0,42,5,Office Supplies
319,ES-2011-2542728,"Acme Shears, High Speed",0,349,7,Office Supplies
320,ES-2011-2543443,"BIC Markers, Blue",0,26,1,Office Supplies
321,ES-2011-2543443,"Eldon Box, Blue",3,9,1,Office Supplies
322,ES-2011-2566881,"Sauder Corner Shelving, Metal",3,396,3,Furniture
323,ES-2011-2566881,"Stanley Pencil Sharpener, Easy-Erase",0,130,5,Office Supplies
324,ES-2011-2566881,"Novimex File Folder Labels, Laser Printer Compatible",0,8,1,Office Supplies
325,ES-2011-2566881,"Smead Lockers, Industrial",3,895,5,Office Supplies
326,ES-2011-2570414,"Stanley Pens, Easy-Erase",0,52,5,Office Supplies
327,ES-2011-2571502,"Ames Mailers, Recycled",0,104,3,Office Supplies
328,ES-2011-2571502,"Smead Lockers, Single Width",12,238,2,Office Supplies
329,ES-2011-2585328,"Cardinal Index Tab, Clear",0,15,2,Office Supplies
330,ES-2011-2585328,"Sharp Fax Machine, High-Speed",0,1469,5,Technology
331,ES-2011-2587200,"Fiskars Trimmer, Steel",0,83,2,Office Supplies
332,ES-2011-2592061,"Hon Training Table, Adjustable Height",0,1674,5,Furniture
333,ES-2011-2608306,"Stockwell Clamps, 12 Pack",0,110,6,Office Supplies
334,ES-2011-2613634,"Bush 3-Shelf Cabinet, Metal",0,286,2,Furniture
335,ES-2011-2613634,"Office Star Chairmat, Adjustable",0,205,3,Furniture
